AAS  198	Directed Group Study           [001] (Chapman)
CSE  107	Intro to Modern Cryptography   [A00] (Bellare)
CSE  110	Software Engineering           [A00] (Gillespie)
CSE  118	Ubiquitous Computing           [A00] (Weibel)
CSE  120	Princ/Computer Operating Systm [A00] (Zhou)
CSE  120	Princ/Computer Operating Systm [B00] (Zhou)
CSE  123	Computer Networks              [A00] (Snoeren)
CSE  124	Networked Services             [A00] (Porter)
CSE  127	Intro to Computer Security     [B00] (Levchenko)
CSE  130	Progrmng Lang:Princpl&Paradigm [A00] (Lerner)
CSE  131	Compiler Construction          [A00] (Chu)
CSE  132A	Database System Principles     [A00] (Deutsch)
CSE  134B	Web Client Languages           [A00] (Powell)
CSE  140	Component&Desgn Tech/Digtl Sys [A00] (Orailoglu)
CSE  140L	Digital Systems Laboratory     [A00] (Orailoglu)
CSE  141	Intro/Computer Architecture    [A00] (Porter)
CSE  141	Intro/Computer Architecture    [B00] (Porter)
CSE  141L	Project/Computer Architecture  [A00] (Eldon)
CSE  141L	Project/Computer Architecture  [B00] (Eldon)
CSE  151	Intro to A.I. Stats Approach   [A00] (Dasgupta)
CSE  158	Recommender Sys&Web Mining     [A00] (McAuley)
CSE  166	Image Processing               [A00] (Ochoa)
CSE  167	Computer Graphics              [B00] (Schulze)
CSE  170	Interaction Design             [A00] (Guo)
CSE  190	Topics/Computer Sci & Engineer [A00] (Kumar)
CSE  190	Topics/Computer Sci & Engineer [B00] (Kumar)
CSE  190	Topics/Computer Sci & Engineer [C00] (Cottrell)
CSE  190	Topics/Computer Sci & Engineer [I00] (Alvarado)
CSE  190	Topics/Computer Sci & Engineer [J00] (Staff)
CSE  191	Semnr/Computer Sci & Engineer  [A00] (Halicioglu)
CSE  191	Semnr/Computer Sci & Engineer  [B00] (Minnes Kemp)
CSE  197	Field Study/Computer Sci&Engin [001] (Minnes Kemp)
CSE  199H	CSE Honors Thesis Research/UN  [001] (McAuley)
CSE  199H	CSE Honors Thesis Research/UN  [002] (Mandell)
CSE  202	Algorithm Design and Analysis  [A00] (Paturi)
CSE  202	Algorithm Design and Analysis  [B00] (Paturi)
CSE  203A	Advanced Algorithms            [A00] (Kane)
CSE  206A	Lattice Algorithms & Applictns [A00] (Micciancio)
CSE  209A	Top/Sem/Algrthms,Complxty&Logc [A00] (Lovett)
CSE  210	Principle/Software Engineering [A00] (Griswold)
CSE  218	Adv Topic/Software Engineering [A00] (Weibel)
CSE  219	Design at Large                [A00] (Staff)
CSE  221	Operating Systems              [A00] (Voelker)
CSE  227	Computer Security              [A00] (Savage)
CSE  229A	Tops/Seminar/Computer Systems  [A00] (Savage)
CSE  229C	Tops/Seminar/Computer Security [A00] (Levchenko)
CSE  230	Principles/Program Languages   [A00] (Lerner)
CSE  232	Principles/Data Base Systems   [A00] (Papakonstantinou)
CSE  237C	Validation&Testing/EmbeddedSys [A00] (Kastner)
CSE  239A	Topics/Seminar in Databases    [A00] (Papakonstantinou)
CSE  240A	Princ/Computer Architecture    [A00] (Tullsen)
CSE  244A	VLSI Test                      [A00] (Orailoglu)
CSE  249B	Topics/Seminar in VLSI         [A00] (Kahng)
CSE  250A	Probabilistic Reason&Learning  [A00] (Saul)
CSE  250A	Probabilistic Reason&Learning  [B00] (Saul)
CSE  252A	Computer Vision I              [A00] (Kriegman)
CSE  258	Recommender Sys&Web Mining     [A00] (McAuley)
CSE  259	Seminr/Artificial Intelligence [A00] (Nakashole)
CSE  260	Parallel Computation           [A00] (Chin)
CSE  278A	Complexity & Large
CSE  290	Sem/Computer Sci & Engineering [A00] (Kumar)
CSE  290	Sem/Computer Sci & Engineering [C00] (Ramamoorthi)
CSE  290	Sem/Computer Sci & Engineering [D00] (Bafna)
CSE  290	Sem/Computer Sci & Engineering [G00] (Bafna)
CSE  291	Top/Computer Sci & Engineering [A00] (Cheng)
CSE  291	Top/Computer Sci & Engineering [B00] (McAuley)
CSE  291	Top/Computer Sci & Engineering [D00] (Polikarpova)
CSE  291	Top/Computer Sci & Engineering [E00] (Gao)
CSE  292	Faculty Research Seminar       [A00] (Gupta)
CSE  293	Spec Proj/Computer Sci & Engin [001] (Alvarado)
CSE  293	Spec Proj/Computer Sci & Engin [002] (Bafna)
CSE  293	Spec Proj/Computer Sci & Engin [003] (Bellare)
CSE  293	Spec Proj/Computer Sci & Engin [004] (Cheng)
CSE  293	Spec Proj/Computer Sci & Engin [005] (Dasgupta)
CSE  293	Spec Proj/Computer Sci & Engin [006] (Deutsch)
CSE  293	Spec Proj/Computer Sci & Engin [007] (Freund)
CSE  293	Spec Proj/Computer Sci & Engin [008] (Gillespie)
CSE  293	Spec Proj/Computer Sci & Engin [009] (Griswold)
CSE  293	Spec Proj/Computer Sci & Engin [010] (Gupta)
CSE  293	Spec Proj/Computer Sci & Engin [011] (Gupta)
CSE  293	Spec Proj/Computer Sci & Engin [012] (Impagliazzo)
CSE  293	Spec Proj/Computer Sci & Engin [013] (Kahng)
CSE  293	Spec Proj/Computer Sci & Engin [014] (Kane)
CSE  293	Spec Proj/Computer Sci & Engin [015] (Kastner)
CSE  293	Spec Proj/Computer Sci & Engin [016] (Kumar)
CSE  293	Spec Proj/Computer Sci & Engin [017] (Kumar)
CSE  293	Spec Proj/Computer Sci & Engin [018] (Lerner)
CSE  293	Spec Proj/Computer Sci & Engin [019] (Lerner)
CSE  293	Spec Proj/Computer Sci & Engin [020] (Lovett)
CSE  293	Spec Proj/Computer Sci & Engin [021] (Marx)
CSE  293	Spec Proj/Computer Sci & Engin [022] (McAuley)
CSE  293	Spec Proj/Computer Sci & Engin [023] (Micciancio)
CSE  293	Spec Proj/Computer Sci & Engin [024] (Minnes Kemp)
CSE  293	Spec Proj/Computer Sci & Engin [025] (Nakashole)
CSE  293	Spec Proj/Computer Sci & Engin [026] (Ochoa)
CSE  293	Spec Proj/Computer Sci & Engin [027] (Orailoglu)
CSE  293	Spec Proj/Computer Sci & Engin [028] (Ord)
CSE  293	Spec Proj/Computer Sci & Engin [029] (Papakonstantinou)
CSE  293	Spec Proj/Computer Sci & Engin [030] (Paturi)
CSE  293	Spec Proj/Computer Sci & Engin [031] (Politz)
CSE  293	Spec Proj/Computer Sci & Engin [032] (Porter)
CSE  293	Spec Proj/Computer Sci & Engin [033] (Porter)
CSE  293	Spec Proj/Computer Sci & Engin [034] (Powell)
CSE  293	Spec Proj/Computer Sci & Engin [035] (Ramamoorthi)
CSE  293	Spec Proj/Computer Sci & Engin [036] (Sahoo)
CSE  293	Spec Proj/Computer Sci & Engin [037] (Saul)
CSE  293	Spec Proj/Computer Sci & Engin [038] (Savage)
CSE  293	Spec Proj/Computer Sci & Engin [039] (Snoeren)
CSE  293	Spec Proj/Computer Sci & Engin [040] (Tullsen)
CSE  293	Spec Proj/Computer Sci & Engin [041] (Voelker)
CSE  293	Spec Proj/Computer Sci & Engin [042] (Weibel)
CSE  293	Spec Proj/Computer Sci & Engin [043] (Zhou)
CSE  293	Spec Proj/Computer Sci & Engin [044] (Levchenko)
CSE  293	Spec Proj/Computer Sci & Engin [045] (Gupta)
CSE  293	Spec Proj/Computer Sci & Engin [046] (Riek)
CSE  293	Spec Proj/Computer Sci & Engin [047] (Stefan)
CSE  293	Spec Proj/Computer Sci & Engin [048] (Rosing)
CSE  293	Spec Proj/Computer Sci & Engin [049] (Cottrell)
CSE  294	Research Meeting in CSE        [A00] (Voelker)
CSE  298	Independent Study              [001] (Alvarado)
CSE  298	Independent Study              [002] (Bafna)
CSE  298	Independent Study              [003] (Bellare)
CSE  298	Independent Study              [004] (Cheng)
CSE  298	Independent Study              [005] (Dasgupta)
CSE  298	Independent Study              [006] (Deutsch)
CSE  298	Independent Study              [007] (Freund)
CSE  298	Independent Study              [008] (Gillespie)
CSE  298	Independent Study              [009] (Griswold)
CSE  298	Independent Study              [010] (Gupta)
CSE  298	Independent Study              [011] (Gupta)
CSE  298	Independent Study              [012] (Impagliazzo)
CSE  298	Independent Study              [013] (Kahng)
CSE  298	Independent Study              [014] (Kane)
CSE  298	Independent Study              [015] (Kastner)
CSE  298	Independent Study              [016] (Kumar)
CSE  298	Independent Study              [017] (Kumar)
CSE  298	Independent Study              [018] (Lerner)
CSE  298	Independent Study              [019] (Lerner)
CSE  298	Independent Study              [020] (Lovett)
CSE  298	Independent Study              [021] (Marx)
CSE  298	Independent Study              [022] (McAuley)
CSE  298	Independent Study              [023] (Micciancio)
CSE  298	Independent Study              [024] (Minnes Kemp)
CSE  298	Independent Study              [025] (Nakashole)
CSE  298	Independent Study              [026] (Ochoa)
CSE  298	Independent Study              [027] (Orailoglu)
CSE  298	Independent Study              [028] (Ord)
CSE  298	Independent Study              [029] (Papakonstantinou)
CSE  298	Independent Study              [030] (Paturi)
CSE  298	Independent Study              [031] (Politz)
CSE  298	Independent Study              [032] (Porter)
CSE  298	Independent Study              [033] (Porter)
CSE  298	Independent Study              [034] (Powell)
CSE  298	Independent Study              [035] (Ramamoorthi)
CSE  298	Independent Study              [036] (Sahoo)
CSE  298	Independent Study              [037] (Saul)
CSE  298	Independent Study              [038] (Savage)
CSE  298	Independent Study              [039] (Snoeren)
CSE  298	Independent Study              [040] (Tullsen)
CSE  298	Independent Study              [041] (Voelker)
CSE  298	Independent Study              [042] (Weibel)
CSE  298	Independent Study              [043] (Zhou)
CSE  298	Independent Study              [044] (Levchenko)
CSE  298	Independent Study              [045] (Riek)
CSE  298	Independent Study              [046] (Tu)
CSE  298	Independent Study              [047] (Rosing)
CSE  298	Independent Study              [048] (Cottrell)
CSE  298	Independent Study              [049] (Palsson)
CSE  299	Research                       [002] (Bafna)
CSE  299	Research                       [003] (Bellare)
CSE  299	Research                       [004] (Cheng)
CSE  299	Research                       [005] (Dasgupta)
CSE  299	Research                       [006] (Deutsch)
CSE  299	Research                       [007] (Freund)
CSE  299	Research                       [009] (Griswold)
CSE  299	Research                       [010] (Gupta)
CSE  299	Research                       [012] (Impagliazzo)
CSE  299	Research                       [013] (Kahng)
CSE  299	Research                       [014] (Kane)
CSE  299	Research                       [015] (Kastner)
CSE  299	Research                       [017] (Kumar)
CSE  299	Research                       [018] (Lerner)
CSE  299	Research                       [020] (Lovett)
CSE  299	Research                       [022] (McAuley)
CSE  299	Research                       [023] (Micciancio)
CSE  299	Research                       [025] (Nakashole)
CSE  299	Research                       [027] (Orailoglu)
CSE  299	Research                       [029] (Papakonstantinou)
CSE  299	Research                       [030] (Paturi)
CSE  299	Research                       [032] (Porter)
CSE  299	Research                       [033] (Porter)
CSE  299	Research                       [035] (Ramamoorthi)
CSE  299	Research                       [037] (Saul)
CSE  299	Research                       [038] (Savage)
CSE  299	Research                       [039] (Snoeren)
CSE  299	Research                       [040] (Tullsen)
CSE  299	Research                       [041] (Voelker)
CSE  299	Research                       [042] (Weibel)
CSE  299	Research                       [043] (Zhou)
CSE  299	Research                       [044] (Shalev)
CSE  299	Research                       [045] (Baden)
CSE  299	Research                       [046] (Bandeira)
CSE  299	Research                       [047] (Chandraker)
CSE  299	Research                       [048] (Chaudhuri)
CSE  299	Research                       [049] (Christensen)
CSE  299	Research                       [050] (Claffy)
CSE  299	Research                       [051] (Coleman)
CSE  299	Research                       [052] (Cottrell)
CSE  299	Research                       [053] (Elkan)
CSE  299	Research                       [054] (Gymrek)
CSE  299	Research                       [055] (Jhala)
CSE  299	Research                       [056] (Knight)
CSE  299	Research                       [057] (Kriegman)
CSE  299	Research                       [058] (Krueger)
CSE  299	Research                       [059] (Kuester)
CSE  299	Research                       [060] (Levchenko)
CSE  299	Research                       [061] (Pevzner)
CSE  299	Research                       [062] (Riek)
CSE  299	Research                       [063] (Rosing)
CSE  299	Research                       [064] (Schulze)
CSE  299	Research                       [065] (Shacham)
CSE  299	Research                       [066] (Shalev)
CSE  299	Research                       [067] (Stefan)
CSE  299	Research                       [068] (Swanson)
CSE  299	Research                       [069] (Taylor)
CSE  299	Research                       [070] (Tu)
CSE  299	Research                       [071] (Vianu)
CSE  299	Research                       [072] (Yocum)
CSE  299	Research                       [073] (Yu)
CSE  299	Research                       [074] (Bansal)
CSE  299	Research                       [075] (Mir Arabbaygi)
CSE  299	Research                       [076] (Klemmer)
CSE  500	Teaching Assistantship         [001] (Alvarado)
CSE  500	Teaching Assistantship         [002] (Bafna)
CSE  500	Teaching Assistantship         [003] (Bellare)
CSE  500	Teaching Assistantship         [004] (Cheng)
CSE  500	Teaching Assistantship         [005] (Dasgupta)
CSE  500	Teaching Assistantship         [006] (Deutsch)
CSE  500	Teaching Assistantship         [007] (Freund)
CSE  500	Teaching Assistantship         [008] (Gillespie)
CSE  500	Teaching Assistantship         [009] (Griswold)
CSE  500	Teaching Assistantship         [010] (Gupta)
CSE  500	Teaching Assistantship         [011] (Gupta)
CSE  500	Teaching Assistantship         [012] (Impagliazzo)
CSE  500	Teaching Assistantship         [013] (Kahng)
CSE  500	Teaching Assistantship         [014] (Kane)
CSE  500	Teaching Assistantship         [015] (Kastner)
CSE  500	Teaching Assistantship         [016] (Kumar)
CSE  500	Teaching Assistantship         [017] (Kumar)
CSE  500	Teaching Assistantship         [018] (Lerner)
CSE  500	Teaching Assistantship         [019] (Lerner)
CSE  500	Teaching Assistantship         [020] (Lovett)
CSE  500	Teaching Assistantship         [021] (Marx)
CSE  500	Teaching Assistantship         [022] (McAuley)
CSE  500	Teaching Assistantship         [023] (Micciancio)
CSE  500	Teaching Assistantship         [024] (Minnes Kemp)
CSE  500	Teaching Assistantship         [025] (Nakashole)
CSE  500	Teaching Assistantship         [026] (Ochoa)
CSE  500	Teaching Assistantship         [027] (Orailoglu)
CSE  500	Teaching Assistantship         [028] (Ord)
CSE  500	Teaching Assistantship         [029] (Papakonstantinou)
CSE  500	Teaching Assistantship         [030] (Paturi)
CSE  500	Teaching Assistantship         [031] (Politz)
CSE  500	Teaching Assistantship         [032] (Porter)
CSE  500	Teaching Assistantship         [033] (Porter)
CSE  500	Teaching Assistantship         [034] (Powell)
CSE  500	Teaching Assistantship         [035] (Ramamoorthi)
CSE  500	Teaching Assistantship         [036] (Sahoo)
CSE  500	Teaching Assistantship         [037] (Saul)
CSE  500	Teaching Assistantship         [038] (Savage)
CSE  500	Teaching Assistantship         [039] (Snoeren)
CSE  500	Teaching Assistantship         [040] (Tullsen)
CSE  500	Teaching Assistantship         [041] (Voelker)
CSE  500	Teaching Assistantship         [042] (Weibel)
CSE  500	Teaching Assistantship         [043] (Zhou)
CSE  500	Teaching Assistantship         [044] (Langlois)
CSE  500	Teaching Assistantship         [045] (Tiefenbruck)
CSE  500	Teaching Assistantship         [046] (Shalev)
CSE  500	Teaching Assistantship         [047] (Jones)
CSE  500	Teaching Assistantship         [048] (Levchenko)
CSE  500	Teaching Assistantship         [049] (Schulze)
CSE  500	Teaching Assistantship         [050] (Kriegman)
CSE  500	Teaching Assistantship         [051] (Guo)
CSE  500	Teaching Assistantship         [052] (Nguyen)
CSE  500	Teaching Assistantship         [053] (Eldon)
CSE  500	Teaching Assistantship         [054] (Cao)
CSE  500	Teaching Assistantship         [055] (Altintas De Callaf)
CSE  500	Teaching Assistantship         [056] (Chu)
CSE  500	Teaching Assistantship         [057] (Cottrell)
CSE  599	Teaching Methods/Computer Sci  [A00] (Minnes Kemp)
DERM 296	Independent Study              [001] (Staff)
DERM 296	Independent Study              [002] (Staff)
DERM 296	Independent Study              [003] (Staff)
DERM 299	Independent Study Project      [001] (Jiang)
DERM 299	Independent Study Project      [002] (Staff)
DERM 299	Independent Study Project      [003] (Staff)
DERM 299	Independent Study Project      [004] (Staff)
DERM 428	Clinical Dermatology           [A00] (Nelson)
DERM 436	Pediatric Dermatology          [A00] (Barrio)
DERM 496	Clinical Independent Study     [001] (Jiang)
DERM 496	Clinical Independent Study     [002] (Staff)
DERM 496	Clinical Independent Study     [003] (Staff)
DERM 496	Clinical Independent Study     [004] (Staff)
DERM 496	Clinical Independent Study     [005] (Staff)
DOC    1	Diversity                      [A00] (Ho)
DOC    1	Diversity                      [B00] (Strom)
DOC    1	Diversity                      [C00] (Solomon)
DOC  100D	Promises&Contradictions/USCult [A00] (Pass)
DOC  100D	Promises&Contradictions/USCult [B00] (Pass)
DOC  500	Apprentice Teaching/Marshall   [A00] (Solomon)
DSC   10	Introduction to Programming    [A00] (Langlois)
DSC   10	Introduction to Programming    [B00] (Tiefenbruck)
DSC   10	Introduction to Programming    [C00] (Langlois)
DSE  200	Python for Data Anlaysis       [A00] (Freund)
DSE  203	Data Integration and ETL       [A00] (Gupta)
DSE  250	Beyond Relational Data Models  [A00] (Deutsch)
DSE  290	Case Studies in Data Science   [A00] (Freund)
DSGN   1	Design of Everyday Things      [A00] (Meyer)
DSGN  90	Undergraduate Seminar          [A00] (Klemmer)
DSGN 119	Design at Large                [A00] (Guo)
DSGN 195	Instructional Apprenticeship   [A00] (Meyer)
ECE    5	Intro to ECE                   [A00] (Nguyen)
ECE   15	Engineering Computation        [A00] (Vardy)
ECE   16	Rapid Hardware & Software Dsn  [A00] (Khoshabeh)
ECE   25	Introduction to Digital Design [A00] (Vasconcelos)
ECE   35	Introduction to Analog Design  [A00] (Schurgers)
ECE   35	Introduction to Analog Design  [B00] (Schurgers)
ECE   45	Circuits and Systems           [A00] (Zeger)
ECE   65	Components & Circuits Lab      [A00] (Taur)
ECE  100	Linear Electronic Systems      [A00] (Sievenpiper)
ECE  101	Linear Systems Fundamentals    [A00] (Siegel)
ECE  102	Intro/Active Circuit Design    [A00] (Schurgers)
ECE  103	Fundamntls/Devices & Materials [A00] (Ng)
ECE  111	Advanced Digital Design Proj   [A00] (Koushanfar)
ECE  121A	Power Sys Analysis & Fundmntls [A00] (Staff)
ECE  135A	Semiconductor Physics          [A00] (Tu)
ECE  153	Probability&Random Process/Eng [A00] (Lugannani)
ECE  154A	Communications Systems I       [A00] (Milstein)
ECE  158A	Data Networks I                [A00] (Franceschetti)
ECE  161A	Intr/Digital Signal Processing [A00] (Rao)
ECE  164	Analog Integrtd Circuit Design [A00] (Hall)
ECE  166	Microwave Systems and Circuits [A00] (Rebeiz)
ECE  171B	Linear Control System Theory   [A00] (Sworder)
ECE  174	Intro/Linear&Nonlinear Optimiz [A00] (Kreutz
ECE  180	Topics in ECE                  [C00] (Abi Samra)
ECE  180	Topics in ECE                  [D00] (Unpingco)
ECE  182	Electromagnetic Optcs/GW&FbrOp [A00] (Lomakin)
ECE  188	Topics in ECE with Lab         [A00] (Staff)
ECE  191	Engineering Group Design Proj  [A00] (Cosman)
ECE  193H	Honors Project                 [001] (Radic)
ECE  193H	Honors Project                 [002] (Fainman)
ECE  193H	Honors Project                 [003] (Staff)
ECE  193H	Honors Project                 [004] (Staff)
ECE  196	Eng Hands
ECE  196	Eng Hands
ECE  197	ECE Internship                 [001] (Lin)
ECE  197	ECE Internship                 [002] (Staff)
ECE  197	ECE Internship                 [003] (Staff)
ECE  198	Direct Group Study             [001] (Nguyen)
ECE  199	Independent Study/Undergrads   [001] (Yu)
ECE  199	Independent Study/Undergrads   [002] (Nguyen)
ECE  199	Independent Study/Undergrads   [003] (Staff)
ECE  199	Independent Study/Undergrads   [004] (Staff)
ECE  199	Independent Study/Undergrads   [005] (Staff)
ECE  199	Independent Study/Undergrads   [006] (Staff)
ECE  199	Independent Study/Undergrads   [007] (Staff)
ECE  200	Research Conference            [001] (Asbeck)
ECE  200	Research Conference            [002] (Buckwalter)
ECE  200	Research Conference            [003] (Cheng)
ECE  200	Research Conference            [004] (Cosman)
ECE  200	Research Conference            [005] (Das)
ECE  200	Research Conference            [006] (Dayeh)
ECE  200	Research Conference            [007] (Dey)
ECE  200	Research Conference            [008] (Esener)
ECE  200	Research Conference            [009] (Fainman)
ECE  200	Research Conference            [010] (Ford)
ECE  200	Research Conference            [011] (Franceschetti)
ECE  200	Research Conference            [012] (Fullerton)
ECE  200	Research Conference            [013] (Galton)
ECE  200	Research Conference            [014] (Gilja)
ECE  200	Research Conference            [015] (Hall)
ECE  200	Research Conference            [016] (Hodgkiss)
ECE  200	Research Conference            [017] (Javidi)
ECE  200	Research Conference            [018] (Kahng)
ECE  200	Research Conference            [019] (Kante)
ECE  200	Research Conference            [020] (Kim)
ECE  200	Research Conference            [021] (Koushanfar)
ECE  200	Research Conference            [022] (Kreutz
ECE  200	Research Conference            [023] (Kuzum)
ECE  200	Research Conference            [024] (Lanckriet)
ECE  200	Research Conference            [025] (Lau)
ECE  200	Research Conference            [026] (Lin)
ECE  200	Research Conference            [027] (Liu)
ECE  200	Research Conference            [028] (Lo)
ECE  200	Research Conference            [029] (Lomakin)
ECE  200	Research Conference            [030] (Lugannani)
ECE  200	Research Conference            [031] (Mercier)
ECE  200	Research Conference            [032] (Milstein)
ECE  200	Research Conference            [033] (Staff)
ECE  200	Research Conference            [034] (Mookherjea)
ECE  200	Research Conference            [035] (Ng)
ECE  200	Research Conference            [036] (Nguyen)
ECE  200	Research Conference            [037] (Orlitsky)
ECE  200	Research Conference            [038] (Pal)
ECE  200	Research Conference            [039] (Papen)
ECE  200	Research Conference            [040] (Quest)
ECE  200	Research Conference            [041] (Radic)
ECE  200	Research Conference            [042] (Rao)
ECE  200	Research Conference            [043] (Rao)
ECE  200	Research Conference            [044] (Rebeiz)
ECE  200	Research Conference            [045] (Siegel)
ECE  200	Research Conference            [046] (Sievenpiper)
ECE  200	Research Conference            [047] (Song)
ECE  200	Research Conference            [048] (Sworder)
ECE  200	Research Conference            [049] (Taur)
ECE  200	Research Conference            [050] (Trivedi)
ECE  200	Research Conference            [051] (Tu)
ECE  200	Research Conference            [052] (Vardy)
ECE  200	Research Conference            [053] (Vasconcelos)
ECE  200	Research Conference            [054] (Yip)
ECE  200	Research Conference            [055] (Yu)
ECE  200	Research Conference            [056] (Zeger)
ECE  200	Research Conference            [057] (Mir Arabbaygi)
ECE  200	Research Conference            [058] (Bharadia)
ECE  200	Research Conference            [059] (Atanasov)
ECE  201	Introduction to Biophysics     [A00] (Lo)
ECE  205	Complexity & Large
ECE  222A	Antennas & Their System Applic [A00] (Rebeiz)
ECE  230A	Solid State Electronics I      [A00] (Lo)
ECE  236A	III
ECE  236C	Heterojnctn Transistors        [B00] (Asbeck)
ECE  238A	Thermodynamics of Solids       [A00] (Luo)
ECE  240A	Lasers and Optics              [A00] (Papen)
ECE  241B	Integrated Photonics           [A00] (Mookherjea)
ECE  247A	Advanced BioPhotonics          [A00] (Jokerst)
ECE  250	Random Processes               [A00] (Lugannani)
ECE  251C	Filter Banks and Wavelets      [A00] (Rao)
ECE  253	Fundmntls/Digital Image Proces [A00] (Trivedi)
ECE  254	Detection Theory               [A00] (Hodgkiss)
ECE  254	Detection Theory               [B00] (Hodgkiss)
ECE  255A	Information Theory             [A00] (Orlitsky)
ECE  257A	Multi
ECE  260A	VLSI Digit Sys Algorithms&Arch [A00] (Eldon)
ECE  264C	CMOS Analg Integr Circ&Sys III [A00] (Galton)
ECE  265C	Power Amplifiers/Wireless Comm [C00] (Staff)
ECE  269	Linear Algebra and Application [A00] (Pal)
ECE  271A	Statistical Learning I         [A00] (Vasconcelos)
ECE  275A	Parameter Estimation I         [A00] (Kreutz
ECE  276A	Sensing & Estimation Robotics  [A00] (Atanasov)
ECE  278	Math Topics for MS Comp Exam   [A00] (Papen)
ECE  285	Spec Topic/Signal&Imag/Robotic [B00] (Sworder)
ECE  285	Spec Topic/Signal&Imag/Robotic [D00] (Staff)
ECE  285	Spec Topic/Signal&Imag/Robotic [E00] (An)
ECE  289	Special Topics in ECE          [A00] (Franceschetti)
ECE  289	Special Topics in ECE          [B00] (Orlitsky)
ECE  290	Seminar/Current ECE Research   [A00] (Staff)
ECE  298	Independent Study              [001] (Staff)
ECE  298	Independent Study              [002] (Staff)
ECE  298	Independent Study              [003] (Staff)
ECE  299	Research                       [001] (Asbeck)
ECE  299	Research                       [002] (Buckwalter)
ECE  299	Research                       [003] (Cheng)
ECE  299	Research                       [004] (Cosman)
ECE  299	Research                       [005] (Das)
ECE  299	Research                       [006] (Dayeh)
ECE  299	Research                       [007] (Dey)
ECE  299	Research                       [008] (Esener)
ECE  299	Research                       [009] (Fainman)
ECE  299	Research                       [010] (Ford)
ECE  299	Research                       [011] (Franceschetti)
ECE  299	Research                       [012] (Fullerton)
ECE  299	Research                       [013] (Galton)
ECE  299	Research                       [014] (Gilja)
ECE  299	Research                       [015] (Hall)
ECE  299	Research                       [016] (Hodgkiss)
ECE  299	Research                       [017] (Javidi)
ECE  299	Research                       [018] (Kahng)
ECE  299	Research                       [019] (Kante)
ECE  299	Research                       [020] (Kim)
ECE  299	Research                       [021] (Koushanfar)
ECE  299	Research                       [022] (Kreutz
ECE  299	Research                       [023] (Kuzum)
ECE  299	Research                       [024] (Lanckriet)
ECE  299	Research                       [025] (Lau)
ECE  299	Research                       [026] (Lin)
ECE  299	Research                       [027] (Liu)
ECE  299	Research                       [028] (Lo)
ECE  299	Research                       [029] (Lomakin)
ECE  299	Research                       [030] (Lugannani)
ECE  299	Research                       [031] (Mercier)
ECE  299	Research                       [032] (Milstein)
ECE  299	Research                       [033] (Staff)
ECE  299	Research                       [034] (Mookherjea)
ECE  299	Research                       [035] (Ng)
ECE  299	Research                       [036] (Nguyen)
ECE  299	Research                       [037] (Orlitsky)
ECE  299	Research                       [038] (Pal)
ECE  299	Research                       [039] (Papen)
ECE  299	Research                       [040] (Quest)
ECE  299	Research                       [041] (Radic)
ECE  299	Research                       [042] (Rao)
ECE  299	Research                       [043] (Rao)
ECE  299	Research                       [044] (Rebeiz)
ECE  299	Research                       [045] (Siegel)
ECE  299	Research                       [046] (Sievenpiper)
ECE  299	Research                       [047] (Song)
ECE  299	Research                       [048] (Sworder)
ECE  299	Research                       [049] (Taur)
ECE  299	Research                       [050] (Trivedi)
ECE  299	Research                       [051] (Tu)
ECE  299	Research                       [052] (Vardy)
ECE  299	Research                       [053] (Vasconcelos)
ECE  299	Research                       [054] (Yip)
ECE  299	Research                       [055] (Yu)
ECE  299	Research                       [056] (Zeger)
ECE  299	Research                       [057] (Mir Arabbaygi)
ECE  299	Research                       [058] (Bharadia)
ECE  299	Research                       [059] (Atanasov)
ECE  501	Teaching                       [001] (Siegel)
ECE  501	Teaching                       [002] (Hall)
ECE  501	Teaching                       [003] (Hodgkiss)
ECE  501	Teaching                       [004] (Rebeiz)
ECE  501	Teaching                       [005] (Vasconcelos)
ECE  501	Teaching                       [006] (Nguyen)
ECE  501	Teaching                       [007] (Atanasov)
ECE  501	Teaching                       [008] (Kreutz
ECE  501	Teaching                       [009] (Sworder)
ECON   1	Principles of Microeconomics   [A00] (Antonovics)
ECON   1	Principles of Microeconomics   [B00] (Antonovics)
ECON   1	Principles of Microeconomics   [C00] (Antonovics)
ECON   2	Market Imperfections & Policy  [A00] (Mateer)
ECON   3	Principles of Macroeconomics   [A00] (Mateer)
ECON   4	Financial Accounting           [A00] (Willoughby)
ECON 100A	Microeconomics A               [A00] (Famulari)
ECON 100A	Microeconomics A               [B00] (Famulari)
ECON 100AH	Honors Microeconomics A        [A00] (Machina)
ECON 100AH	Honors Microeconomics A        [B00] (Machina)
ECON 100B	Microeconomics B               [A00] (Levkoff)
ECON 100B	Microeconomics B               [B00] (Levkoff)
ECON 100C	Microeconomics C               [A00] (Sinitsyn)
ECON 100C	Microeconomics C               [B00] (Sinitsyn)
ECON 102	Globalization                  [A00] (Muendler)
ECON 109	Game Theory                    [A00] (Levkoff)
ECON 110A	Macroeconomics A               [A00] (Candido)
ECON 110A	Macroeconomics A               [B00] (Candido)
ECON 110B	Macroeconomics B               [A00] (Candido)
ECON 111	Monetary Economics             [A00] (Cohen)
ECON 113	Mathematical Economics         [A00] (Toda)
ECON 120A	Econometrics A                 [A00] (Santamaria)
ECON 120A	Econometrics A                 [B00] (Santamaria)
ECON 120B	Econometrics B                 [A00] (Foster)
